date_utc,generated_at_utc,window_start_utc,window_end_utc,total_articles_classified,relevant_articles,negotiation_count,ceasefire_count,deescalation_count,escalation_count,proxy_escalation_count,strike_count,irrelevant_count,negotiation_ratio,war_ratio,avg_strength,median_strength,avg_positive_strength,avg_negative_strength,avg_source_weight,negotiation_events,ceasefire_events,deescalation_events,escalation_events,proxy_events,strike_events,article_raw_score,event_raw_score,batch_raw_score,war_batch_score,war_smoothed_score,trend_delta,trend_label,trend_label_ko,oil_signal,defense_signal,airline_signal,equity_signal,gold_dollar_signal,alert_message,summary_ko
2026-03-13,2026-03-13T19:48:57+00:00,2026-03-13T19:47:16.859439+00:00,2026-03-13T19:48:48.806678+00:00,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,64.21,64.37,-10.71,strong_down,가파른 하락,강세,강세,부담,리스크오프,선호,특이 경보 없음,이번 실행 구간에는 새로 올라온 관련 기사가 거의 없었다.
2026-03-13,2026-03-13T22:00:35+00:00,2026-03-13T19:48:48.806678+00:00,2026-03-13T22:00:05.484870+00:00,3,2,0,0,0,0,0,2,1,0.0,1.0,0.625,0.625,0.0,0.625,1.0,0,0,0,0,0,2,4.2379,4.1157,4.1129,58.57,60.26,3.24,flat,보합,강세,강세,부담,리스크오프,선호,직접 공격/보복 보도 증가,아직 긴장 상태가 우세하다. 다만 즉각적 확전 여부는 추가 기사 확인이 필요하다.
2026-03-14,2026-03-14T05:03:57+00:00,2026-03-13T22:00:05.484870+00:00,2026-03-14T05:02:15.130851+00:00,18,15,0,0,0,3,0,12,3,0.0,1.0,0.806,0.9,0.0,0.806,1.0033,0,0,0,3,0,11,13.8936,9.9846,10.6893,72.27,68.72,8.62,up,상승,강세,강세,부담,리스크오프,선호,직접 공격/보복 보도 증가,전쟁 위험이 높아지는 방향이다. 공격·경고 기사 비중이 협상 신호보다 우세하다.
2026-03-14,2026-03-14T07:51:27+00:00,2026-03-14T05:02:15.130851+00:00,2026-03-14T07:50:50.210447+00:00,6,6,0,0,1,0,0,5,0,0.1667,0.8333,0.7417,0.875,0.6,0.77,1.0167,0,0,1,0,0,5,10.3615,8.6949,8.8353,68.41,68.2,7.67,up,상승,강세,강세,부담,리스크오프,선호,직접 공격/보복 보도 증가,전쟁 위험이 높아지는 방향이다. 공격·경고 기사 비중이 협상 신호보다 우세하다.
2026-03-14,2026-03-14T09:58:52+00:00,2026-03-14T07:50:50.210447+00:00,2026-03-14T09:58:29.009932+00:00,3,2,0,0,0,1,0,1,1,0.0,1.0,0.775,0.775,0.0,0.775,1.0,0,0,0,1,0,1,3.9177,3.8209,3.8184,57.95,61.47,2.9,flat,보합,강세,강세,부담,리스크오프,선호,특이 경보 없음,아직 긴장 상태가 우세하다. 다만 즉각적 확전 여부는 추가 기사 확인이 필요하다.
2026-03-14,2026-03-14T13:57:51+00:00,2026-03-14T09:58:29.009932+00:00,2026-03-14T13:56:59.763303+00:00,10,10,1,0,0,3,0,6,0,0.1,0.9,0.855,0.875,0.8,0.8611,1.015,1,0,0,3,0,5,12.8516,9.5549,10.1787,71.21,68.28,4.26,up,상승,강세,강세,부담,리스크오프,선호,직접 공격/보복 보도 증가,전쟁 위험이 높아지는 방향이다. 공격·경고 기사 비중이 협상 신호보다 우세하다.
2026-03-14,2026-03-14T15:53:22+00:00,2026-03-14T13:56:59.763303+00:00,2026-03-14T15:52:53.257460+00:00,4,4,0,0,0,2,1,1,0,0.0,1.0,0.8375,0.85,0.0,0.8375,1.0375,0,0,0,2,1,1,6.9585,6.4313,6.4405,63.42,64.43,0.43,flat,보합,강세,강세,부담,리스크오프,선호,특이 경보 없음,직접 충돌은 아니어도 대리세력 관련 확전 신호가 이어진다. 중립보다 경계가 맞다.
2026-03-14,2026-03-14T19:17:44+00:00,2026-03-14T15:52:53.257460+00:00,2026-03-14T19:16:57.549164+00:00,7,5,0,0,0,2,0,3,2,0.0,1.0,0.854,0.85,0.0,0.854,1.0,0,0,0,2,0,3,9.5401,8.225,8.3126,67.32,66.93,-0.89,flat,보합,강세,강세,부담,리스크오프,선호,직접 공격/보복 보도 증가,아직 긴장 상태가 우세하다. 다만 즉각적 확전 여부는 추가 기사 확인이 필요하다.
2026-03-14,2026-03-14T21:52:57+00:00,2026-03-14T19:16:57.549164+00:00,2026-03-14T21:52:21.724930+00:00,5,4,0,0,1,2,0,1,1,0.25,0.75,0.65,0.7,0.6,0.6667,1.0,0,0,1,2,0,1,4.1879,4.0699,4.0672,58.47,60.73,0.81,flat,보합,강세,강세,부담,리스크오프,선호,특이 경보 없음,아직 긴장 상태가 우세하다. 다만 즉각적 확전 여부는 추가 기사 확인이 필요하다.
2026-03-15,2026-03-15T05:29:15+00:00,2026-03-14T21:52:21.724930+00:00,2026-03-15T05:28:13.291209+00:00,10,8,1,0,0,5,0,2,2,0.125,0.875,0.7837,0.81,0.6,0.81,0.9938,1,0,0,4,0,2,9.2206,7.5843,8.0169,66.7,65.12,-3.48,flat,보합,강세,강세,부담,리스크오프,선호,직접 공격/보복 보도 증가,아직 긴장 상태가 우세하다. 다만 즉각적 확전 여부는 추가 기사 확인이 필요하다.
2026-03-15,2026-03-15T05:45:03+00:00,2026-03-15T05:28:13.291209+00:00,2026-03-15T05:44:55.151505+00:00,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,66.7,65.88,-0.45,flat,보합,강세,강세,부담,리스크오프,선호,특이 경보 없음,이번 실행 구간에는 새로 올라온 관련 기사가 거의 없었다.
